Doan Gia Huy- 0913222134- 1115126- 226 Xuan Tien- 042203001026- 1 22 12 1992   
Nguyen Thi Ly- 0921321832- 1116127- 235 Thang Loi- 042203001027- 0 9 2 1973   
Le Van Duy- 0823432232- 1115125- 212 Xuan Phu- 042203001025- 1 21 10 1993   
Thai Ba Quoc- 0876234125- 1113116- 166 Quang Trung- 042203001016- 1 2 2 2003   
Nguyen Tien Quang- 0723471284- 1115124- 185 Tran Phu- 042203001024- 1 9 2 1992   
Nguyen Hoai Trung- 0923156782- 1113115- 223 Le Hoan- 042203001015- 1 4 1 2002   
Nguyen Ba Thinh- 0707127435- 1113120- 221 Le Loi- 042203001020- 1 5 5 2001   
Tran Le Minh- 0843125189- 1113114- 232 Ngo Quyen- 042203001014- 1 12 9 2001   
Nguyen Duc Hiep- 0822341689- 1113119- 224 Le Hoan- 042203001019- 1 3 4 2002   
Pham Hoang Long- 0988123421- 1113117- 165 Nguyen Hue- 042203001017- 1 21 6 2000   
Le Vu Hung- 0718341218- 1113118- 122 Hung Vuong- 042203001018- 1 25 8 2002   
Van Cong Toan- 0317592695- 1115123- 215 Quang Trung- 042203001023- 1 4 7 1992   
Huynh Thuc Vi- 0898765467- 1114121- 134 Ba Trieu- 042203001021- 0 23 1 1998   
Tran Ngoc Quyen- 0912321362- 1114122- 212 Kim Dong- 042203001022- 0 22 3 1999   
Truong Hoang Long- 0762668222- 1113113- 228 Le Loi- 042203001013- 1 13 6 2000   
Nguyen Thi Tuy- 0712473298- 1314153- 152 Tran Phu- 042203001053- 0 24 6 1972   
Nguyen Thi Anh- 0832874833- 1314154- 124 Hung Vuong- 042203001054- 0 21 8 1973   
Tran Van Trung- 0927374872- 1314152- 146 Nguyen Du- 042203001052- 1 11 1 2000   
Hoang Van Thanh- 0913272384- 1116129- 171 Xuan Thang- 042203001029- 1 21 5 1975   
Pham Cong Son- 0913727471- 1116130- 121 Tran Phu- 042203001030- 1 13 6 1973   
Hoang My Hanh- 0812323472- 1116128- 163 Cao Thang- 042203001028- 0 22 1 1975   
Phan Thuy Linh- 0813874823- 1313151- 121 Kim Dong- 042203001051- 0 1 12 1989   
Tran Phuoc Hieu- 0721749274- 1313148- 115 Thang Loi- 042203001048- 1 5 6 1989   
Nguyen Ai Hoa- 0915276932- 1313150- 135 Quang Trung- 042203001050- 0 12 1 1986   
Pham Thi Loan- 0912457432- 1314155- 162 Quang Trung- 042203001055- 0 22 2 1974   
Nguyen Tri Hieu- 0913783416- 1313149- 116 Nguyen Hue- 042203001049- 1 11 11 1990   
Huynh Diem My- 0784632154- 1112111- 111 Kim Dong- 042203001011- 0 21 7 1995   
Phan Thi Thao- 0927326736- 1211133- 243 Le Hoan- 042203001033- 0 13 4 1992   
Nguyen Quynh Truc- 0782152364- 1112112- 213 Ba Trung- 042203001012- 0 22 8 1996   
Le Khanh Dan- 0789866153- 1112110- 155 Ngo Quyen- 042203001010- 0 24 5 1995   
Ho Ngoc Nhi- 0852214416- 1112109- 143 Le Loi- 042203001009- 0 12 1 1992   
Le Thu Thao- 0317848247- 1211135- 221 Nguyen Du- 042203001035- 0 23 6 1992   
Le Huy Hoang- 0827426482- 1211136- 123 Nguyen Du- 042203001036- 1 22 1 1991   
Hoang Thanh Thuy- 0267478268- 1211134- 121 Le Lai- 042203001034- 0 12 12 1993   
Lu Thuy Linh- 0928342848- 1312146- 145 Ba Trieu- 042203001046- 0 22 1 1984   
Nguyen Tien Quang- 0712283271- 1312145- 133 Hung Vuong- 042203001045- 1 9 2 1986   
Vo Thuy Tien- 0317749279- 1312147- 141 Le Loi- 042203001047- 0 2 1 1985   
Lu Thanh Phuong- 0972342314- 1312143- 127 Quang Trung- 042203001043- 1 31 3 1988   
Nguyen Quoc Khanh- 0836197439- 1312144- 121 Nguyen Hue- 042203001044- 1 2 9 1985   
Tran Quoc Bao- 0905850315- 1111106- 114 Ba Trieu- 042203001006- 1 12 5 1990   
Nguyen Tuan Kiet- 0905688896- 1111107- 116 Hung Vuong- 042203001007- 1 13 6 1989   
Nguyen Chau Anh- 0394910617- 1111105- 137 Ba Trung- 042203001005- 0 22 11 1990   
Phan Thao My- 0704103142- 1111108- 122 Le Hoan- 042203001008- 0 1 12 1988   
Tran Anh Tai- 0318784719- 1210131- 131 Nguyen Du- 042203001031- 1 21 1 1990   
Le Huyen Trang- 0317672782- 1210132- 131 Quang Trung- 042203001032- 0 1 12 1991   
Nguyen Thi Thanh- 0927823827- 1311139- 112 Hung Vuong- 042203001039- 0 12 1 1989   
Nguyen Thi Nhat- 0318492749- 1311140- 125 Ba Trieu- 042203001040- 1 3 1 1986   
Hoang Cong Thanh- 0724826193- 1311141- 113 Le Loi- 042203001041- 1 4 2 1987   
Tran Trung Thi- 0318492372- 1311142- 125 Tran Phu- 042203001042- 1 28 3 1985   
Phan Van Hoang- 0923727472- 1310137- 121 Kim Dong- 042203001037- 1 2 1 1987   
Phan Duc Manh- 0852001394- 1110103- 127 Phan Thanh- 042203001003- 1 9 10 1988   
Dinh Thai An- 0826826482- 1310138- 212 Ba Trung- 042203001038- 1 1 4 1988   
Ngo Viet Cuong- 0903533076- 1110104- 132 Kim Dong- 042203001004- 1 18 3 1989   
Dang Thanh Cong- 0708166827- 1011101- 114 Quang Trung- 042203001001- 1 28 2 1981   
Dao Minh Nhat- 0901138292- 1011102- 118 Nguyen Hue- 042203001002- 1 10 11 1985   
Phan Minh Khoi- 0784683943- 1010100- 118 Phan Thanh- 042203001000- 1 17 2 1986   
